id_cliente,idade,renda_anual,limite_credito,tempo_relacionamento_meses,utilizacao_limite,utilizacao_limite_v2,n_atrasos_12m,canal_aquisicao,regiao,feature_ruido_1,feature_ruido_2,inadimplente
904320,62.3,77490.09,25799.66,13.5,0.3182,0.3587,0,app,Sul,-0.8369,1,0
902006,32.7,82703.08,18791.18,59.0,0.3057,0.2962,0,app,Sudeste,1.1822,3,0
905689,39.6,102978.58,42457.24,12.7,0.0813,0.0458,0,agência,Sudeste,1.1738,1,0
900472,28.7,36795.24,8403.65,21.3,0.3027,0.3086,2,agência,Sudeste,-0.0589,4,0
901370,39.6,99865.27,15375.94,238.5,0.2499,0.2256,0,agência,Sudeste,-1.2657,4,0
901457,33.5,42845.91,8911.16,38.1,0.7,0.7191,0,agência,Sudeste,-0.6379,3,0
905783,18.0,,7658.43,45.6,0.4088,0.4092,0,app,Norte,-0.2983,1,0
903484,36.0,47224.62,13173.45,9.9,0.2501,0.2909,1,app,Sudeste,-0.0234,3,0
901145,37.8,33651.61,9226.55,1.0,0.218,0.1926,0,app,Norte,-0.3362,2,0
900130,45.6,46764.67,19187.09,73.3,0.2693,0.2955,0,agência,Sudeste,0.373,0,0
901136,20.0,78858.52,22514.45,16.1,0.1863,0.1699,0,app,Sudeste,-0.506,0,0
904658,45.7,35908.91,6117.91,4.7,0.3269,0.2969,0,agência,Sudeste,-1.0471,0,0
901161,31.3,37647.68,8121.43,75.6,0.0351,0.0295,0,agência,Sudeste,0.1554,4,0
902152,42.4,73767.96,33001.69,31.9,0.2899,0.2867,0,evento_promocional,Sul,0.0242,1,1
900559,36.4,40799.34,17630.19,96.3,0.1817,0.2137,1,app,Sul,0.889,3,0
900916,60.4,37461.55,15205.03,8.4,0.3103,0.3006,1,app,Sudeste,0.4175,1,0
904278,56.8,61211.95,17696.86,31.7,0.4834,0.4842,1,indicação,Sudeste,-0.9384,0,1
904394,41.8,50542.48,12821.63,27.3,0.5091,0.497,1,indicação,Sudeste,-0.2442,2,0
904008,42.1,,15232.22,27.3,0.3687,0.3359,1,agência,Nordeste,0.5394,4,0
904910,20.4,42810.52,10786.88,7.8,0.2745,0.2919,3,indicação,Sudeste,0.5442,4,0
902569,36.8,40644.93,8380.95,3.4,0.1114,0.1093,0,app,Sul,0.8538,0,0
904166,40.8,33336.68,7466.58,28.3,0.065,0.0565,2,parceria_varejo,Sudeste,0.6855,0,0
904336,25.0,119558.97,41059.69,,0.2405,0.2292,1,app,Sudeste,0.5975,3,0
900528,19.7,15318.16,2792.34,37.9,0.0914,0.075,1,app,Nordeste,0.5772,1,0
905916,59.3,66622.38,25459.82,77.3,0.1871,0.1955,0,app,Nordeste,1.1335,2,0
904404,41.5,36711.56,13651.22,18.2,0.241,0.2609,0,indicação,Sul,0.2298,4,0
905914,19.2,45681.17,10029.7,8.5,0.1292,0.1322,0,app,Nordeste,-0.6964,0,0
900247,41.5,96429.57,15764.91,,0.2752,0.2764,0,parceria_varejo,Sudeste,-0.0131,4,0
904583,41.0,53521.64,9646.82,116.5,0.224,0.2107,2,app,Nordeste,-2.1547,2,0
901675,44.6,83921.45,31907.96,19.8,0.1586,0.159,1,agência,Sudeste,-1.1596,0,0
902946,40.6,72931.22,22303.28,67.9,0.5263,0.5032,1,app,Sudeste,0.063,1,0
900880,28.6,,11160.62,36.5,0.4937,0.4817,1,evento_promocional,Sul,1.4789,4,0
904330,36.1,141230.43,57897.03,173.2,0.2539,0.2681,0,indicação,Nordeste,0.0995,3,0
903457,53.4,,34813.12,13.2,0.5106,0.5024,0,agência,Sudeste,-0.1167,4,0
903369,42.5,51114.29,21100.84,66.2,0.0708,0.0951,0,app,Centro-Oeste,1.2716,3,0
