id_apolice,area_construida_m2,area_construida_m2_v2,idade_imovel_anos,valor_imovel,distancia_corpo_bombeiros_km,n_sinistros_anteriores,tipo_imovel,regiao,feature_ruido_1,feature_ruido_2,custo_sinistro
54320,99.8,98.3,1.6,483956.56,0.7,0,casa,Centro-Oeste,-0.9403,2,60.56
52006,126.3,123.0,3.4,505505.24,4.7,0,casa,Sudeste,-2.0354,2,263.66
55689,250.6,248.1,6.6,1173426.36,13.7,0,apartamento,Sudeste,1.9409,3,108.02
50472,85.2,87.0,14.2,297645.46,10.98,0,casa,Sul,0.9863,1,310.49
51370,99.2,100.0,4.4,434552.46,0.57,1,casa,Sudeste,1.1816,1,2165.48
51457,114.1,115.0,3.3,396793.64,3.3,0,casa,Sudeste,1.2462,0,297.84
55783,60.5,61.9,3.6,256320.63,0.41,0,casa,Sudeste,0.233,3,155.19
53484,289.6,295.7,1.9,1071781.22,12.3,0,apartamento,Sudeste,-1.4566,2,91.26
51145,200.8,197.3,32.2,855968.71,10.38,0,casa,Sul,1.1339,2,1048.96
50130,149.1,151.0,6.5,500299.05,0.56,0,casa,Sudeste,-1.2408,0,417.54
51136,112.5,113.3,0.7,376434.84,2.26,0,casa,Sudeste,0.0491,2,44.93
54658,150.7,151.4,0.0,447884.94,6.78,0,sobrado,Norte,-0.697,2,30.0
51161,87.9,87.6,32.3,317556.79,7.42,0,apartamento,Sudeste,-0.4484,2,699.12
52152,156.5,159.3,26.4,745092.89,3.08,3,casa,Centro-Oeste,0.0535,2,3348.94
50559,137.6,134.1,15.1,475968.54,13.86,0,casa,Sudeste,0.3399,3,186.38
50916,150.1,147.5,26.8,467001.2,11.92,0,casa,Nordeste,0.4828,0,654.68
54278,113.9,115.1,23.2,331397.18,,0,casa,Sul,-0.4523,3,396.17
54394,423.6,435.1,22.0,1483284.85,13.0,0,sobrado,Norte,0.6165,1,671.57
54008,138.3,134.6,1.5,472106.98,0.68,0,casa,Nordeste,0.0187,1,58.58
54910,73.2,74.7,28.5,188940.32,0.98,0,kitnet,Centro-Oeste,0.4166,1,1089.06
52569,208.3,204.2,6.1,1049874.16,1.26,1,casa,Nordeste,-0.4539,3,1288.41
54166,158.8,159.6,20.9,776291.0,2.22,0,sobrado,Sudeste,0.0713,1,361.03
54336,132.8,131.2,35.9,485646.19,13.81,1,apartamento,Sudeste,0.8928,1,1401.91
50528,66.4,66.5,11.5,181047.96,12.37,1,casa,Sudeste,-0.9988,3,391.22
55916,96.7,98.4,4.7,334275.65,2.33,1,casa,Sudeste,-2.5251,3,440.28
54404,66.9,67.8,,244614.95,2.54,1,apartamento,Sul,1.1716,1,785.13
55914,245.6,251.1,20.5,905949.23,6.4,1,casa,Norte,1.0941,0,1180.21
50247,67.7,67.5,4.9,271746.53,0.52,0,kitnet,Sul,1.2757,3,214.86
54583,113.6,114.3,3.7,362027.24,11.55,0,apartamento,Sul,1.4508,1,155.95
51675,138.8,141.7,0.1,554443.91,21.58,0,apartamento,Sudeste,1.0158,3,30.0
52946,107.0,106.9,21.7,466400.57,,0,cobertura_duplex,Norte,2.0586,3,218.64
50880,84.0,85.6,10.8,350354.1,9.45,2,casa,Nordeste,0.2134,0,5278.47
54330,102.1,103.0,16.6,366082.37,0.69,0,apartamento,Sudeste,0.5592,2,697.0
53457,166.5,165.9,8.0,501907.72,0.47,0,sobrado,Nordeste,-0.9663,0,274.19
53369,131.1,128.7,,505766.37,5.41,0,apartamento,Sudeste,0.0481,0,303.91
52406,59.9,58.9,47.2,254223.24,2.56,0,apartamento,Sudeste,0.1779,1,1045.82
55418,102.6,102.3,6.5,316305.93,10.91,0,apartamento,Centro-Oeste,0.7548,0,77.08
50202,165.8,169.8,43.6,616621.5,10.88,2,casa,Sudeste,-0.4151,2,3609.69
51448,83.1,85.2,0.6,355565.35,2.9,0,apartamento,Nordeste,0.1476,2,94.19
50144,176.9,177.2,,516237.64,1.72,0,apartamento,Nordeste,-0.9811,3,216.64
53996,63.0,61.7,15.4,188022.62,19.75,2,casa,Norte,-0.0812,3,6243.12
55292,189.1,191.0,14.7,657214.65,1.62,1,sobrado,Nordeste,2.9512,2,1090.05
55182,149.7,153.5,29.2,503735.71,1.76,0,apartamento,Sul,-0.6112,3,567.73
52067,75.8,77.5,24.2,379814.99,4.53,0,kitnet,Sudeste,-1.6752,3,329.88
55081,96.2,96.7,9.1,439787.28,1.15,0,casa,Sudeste,0.8968,2,174.71
50388,209.4,205.7,1.3,721862.05,2.64,0,casa,Sul,-0.5873,0,82.65
54959,76.6,77.5,4.3,233958.97,1.88,1,apartamento,Sul,-0.3253,1,853.5
50731,122.3,122.4,1.2,403594.3,8.1,0,casa,Nordeste,-1.2778,1,113.76
50014,124.8,125.4,30.8,337721.77,3.14,0,apartamento,Nordeste,0.2694,2,291.19
52690,231.2,227.8,7.2,830036.38,1.89,1,apartamento,Sul,-1.4613,2,2065.94
52810,150.7,150.6,17.6,646887.48,3.01,0,apartamento,Sudeste,0.2054,3,226.74
55193,114.4,112.2,0.3,492231.88,21.67,0,casa,Nordeste,0.6968,1,30.0
53312,115.9,116.9,12.0,412160.86,9.83,0,casa,Sudeste,0.3752,0,134.32
52889,115.5,114.3,72.9,470196.55,6.19,0,sobrado,Sudeste,-0.3566,1,2739.27
50557,114.0,111.5,26.2,365593.93,5.27,1,apartamento,Sudeste,0.7716,3,578.05
55283,36.7,36.0,25.4,158092.47,,0,cobertura_duplex,Sudeste,1.314,1,153.08
50394,134.3,135.1,26.5,546999.21,19.29,2,casa,Sul,0.0303,3,2601.23
50134,116.3,113.2,9.1,450623.36,1.82,0,kitnet,Sudeste,-0.1016,2,410.08
51121,62.8,62.3,1.8,188736.11,0.43,0,apartamento,Sudeste,1.9053,1,235.23
52630,81.9,79.8,65.9,218971.22,0.2,0,kitnet,Centro-Oeste,1.0811,1,1989.92
53586,48.9,48.7,0.6,175489.55,6.2,0,apartamento,Sudeste,-0.8266,2,72.63
51669,233.8,226.8,1.3,846272.74,3.95,0,casa,Sudeste,-0.0333,3,303.5
52534,93.2,91.9,26.9,452657.37,1.4,0,casa,Norte,1.3322,2,507.71
53807,137.1,139.4,15.3,458095.69,5.39,0,casa,Sudeste,-0.2139,3,209.84
52247,147.1,150.6,21.4,398004.66,31.62,0,casa,Sudeste,-1.0528,1,622.7
54672,35.0,35.7,,134587.51,0.35,0,kitnet,Norte,-1.2462,2,134.58
50429,175.0,173.8,3.1,686479.19,9.93,0,kitnet,Sudeste,-1.6609,0,110.45
55258,225.1,229.7,18.3,532043.85,0.2,0,apartamento,Centro-Oeste,-1.388,0,255.21
55567,213.3,215.0,,546655.5,3.58,0,apartamento,Sul,-1.188,0,232.68
54189,147.9,146.3,3.0,499072.0,2.31,0,casa,Norte,-1.3565,1,140.46
51398,102.3,101.6,0.2,318430.91,6.06,0,apartamento,Sudeste,-0.4138,2,65.0
53388,262.4,268.9,,900131.71,2.97,0,casa,Sudeste,-1.0389,1,189.67
53652,65.7,64.9,6.6,309637.38,11.07,0,apartamento,Sudeste,-0.8699,1,176.92
54018,232.0,226.7,4.2,747159.98,3.62,1,casa,Sudeste,-0.4413,0,1683.95
54487,103.7,103.3,6.9,413897.19,2.55,0,casa,Sudeste,-0.6763,3,158.0
55635,158.1,159.8,12.1,602242.39,4.39,0,casa,Sul,0.3088,3,235.02
51299,96.2,94.8,6.4,352477.94,2.95,0,casa,Sudeste,0.7565,3,241.94
50675,82.4,82.7,2.5,313807.65,1.0,1,casa,Sudeste,0.2435,2,1306.56
53412,94.2,92.5,,408308.36,0.4,0,apartamento,Centro-Oeste,0.4941,3,78.31
53736,69.4,70.4,38.4,231721.45,2.93,0,apartamento,Sul,-0.0161,3,263.22
50660,153.6,150.9,1.9,4346972.54,27.08,0,casa,Sudeste,-3.8178,2,105.84
50527,304.3,308.4,5.4,1326641.87,15.71,1,casa,Nordeste,0.61,1,1963.6
52961,176.0,172.8,10.8,658999.36,2.25,0,casa,Sudeste,0.3899,2,255.7
50012,114.1,113.3,14.4,560116.54,3.4,0,casa,Sudeste,-1.5333,1,793.13
53981,230.0,234.1,3.7,1058532.51,10.41,0,sobrado,Nordeste,-0.0053,2,275.1
52623,150.1,150.9,50.3,429936.0,0.43,0,apartamento,Sudeste,-1.3011,3,921.32
53200,94.5,97.3,4.2,216152.08,3.33,1,casa,Nordeste,1.3486,0,1291.53
52553,94.2,95.6,17.1,462255.83,9.65,1,casa,Nordeste,0.2605,1,1462.09
51051,151.7,151.5,9.4,587201.62,2.86,0,casa,Sudeste,1.5288,2,227.37
54737,201.2,202.3,38.3,1005512.71,8.98,2,casa,Sudeste,2.3158,0,2549.77
51657,115.7,116.0,12.7,497520.24,0.42,1,casa,Sudeste,-0.9857,1,2026.84
54148,197.6,199.8,,615875.89,2.13,0,apartamento,Sul,-0.7823,1,152.66
55326,214.2,216.5,9.7,686032.32,1.47,0,sobrado,Sul,0.4346,0,149.15
54880,60.8,62.1,2.8,153517.15,4.52,1,casa,Norte,-0.7672,1,567.08
55928,84.2,82.8,1.2,416336.25,1.9,1,casa,Nordeste,-0.4346,1,704.94
54463,113.3,116.3,3.7,500503.76,4.67,0,apartamento,Sudeste,-1.0279,2,224.16
55556,46.7,47.7,16.5,166152.58,5.24,0,apartamento,Sudeste,0.6324,3,528.99
51108,138.5,137.0,11.9,536771.91,0.89,0,casa,Sudeste,-0.5319,2,266.17
55092,79.3,78.4,1.9,155387.7,1.93,0,kitnet,Sul,-0.0899,3,110.09
51590,148.2,145.7,12.3,592241.83,5.03,0,apartamento,Sudeste,-0.3863,2,719.42
54203,174.7,178.6,6.6,782489.83,4.76,0,casa,Sudeste,-0.9986,3,236.0
50206,65.8,66.0,26.2,140378.22,13.07,0,apartamento,Sul,0.2698,3,391.39
52232,147.8,146.8,,646454.63,4.61,0,casa,Sul,-0.3778,0,117.31
54340,57.9,58.9,22.8,238776.55,3.75,0,casa,Sudeste,0.4513,1,338.1
50502,139.1,138.5,56.0,486362.99,2.21,0,sobrado,Sudeste,0.1101,0,1293.73
54281,94.8,96.6,29.2,322790.35,1.72,0,apartamento,Sudeste,-1.2589,1,904.25
51031,56.9,57.7,10.4,217207.53,2.93,1,casa,Sudeste,0.9891,3,1673.27
52224,101.6,99.9,8.4,405596.65,14.74,0,apartamento,Sul,0.6273,0,187.96
55949,166.0,164.9,0.8,479387.23,8.92,0,apartamento,Centro-Oeste,-0.0585,2,96.92
52188,110.7,108.7,1.0,506956.85,0.74,1,casa,Sudeste,-1.806,0,383.78
55591,126.5,123.0,3.1,501389.27,4.65,0,sobrado,Sul,-0.1005,2,105.6
51452,66.0,67.0,5.2,198845.18,0.71,0,casa,Sudeste,0.6501,2,252.95
54204,187.2,188.7,7.0,617378.02,9.73,0,casa,Sudeste,0.1934,1,77.78
55178,82.1,83.1,15.8,418512.78,2.64,1,casa,Nordeste,0.2077,0,1187.62
54154,73.6,73.8,16.3,407841.43,2.22,0,kitnet,Sudeste,0.0756,0,300.69
52475,78.4,80.4,13.2,393906.81,8.21,0,apartamento,Nordeste,-1.8988,2,260.61
55428,122.6,123.1,6.9,468102.55,1.02,0,casa,Sul,-1.0482,3,315.47
55804,180.3,185.3,1.7,522506.19,3.23,0,kitnet,Nordeste,0.4916,2,138.47
55413,145.1,148.1,10.0,437165.78,2.73,0,apartamento,Nordeste,-0.0269,0,470.06
50170,106.4,103.7,8.9,432742.82,1.04,0,casa,Sul,0.566,3,206.12
51982,214.2,210.2,20.1,558500.01,6.66,0,apartamento,Sudeste,0.3301,1,451.09
52103,119.4,117.6,22.5,390252.62,9.17,0,casa,Norte,-1.4288,3,255.33
53359,127.5,127.8,33.7,634118.61,5.29,0,cobertura_duplex,Sudeste,-0.68,0,658.92
51493,152.2,155.1,4.6,694187.17,5.86,0,kitnet,Nordeste,-0.3586,2,90.81
55382,87.5,85.3,0.2,335478.65,1.84,1,casa,Norte,-0.7852,3,445.0
55931,72.6,74.7,0.5,186720.58,1.06,0,casa,Nordeste,0.9442,0,95.19
51116,87.7,87.3,1.5,255291.01,0.58,0,casa,Nordeste,-1.1576,2,110.87
51511,209.2,204.0,16.7,960553.3,5.35,0,casa,Sudeste,-1.4213,0,578.98
52762,113.2,113.0,16.6,579364.89,0.2,0,apartamento,Sudeste,0.2792,2,383.99
55653,236.9,242.1,23.9,1083679.12,4.17,0,apartamento,Sul,-0.2343,2,752.82
51362,125.5,124.2,18.9,525951.94,16.29,1,apartamento,Sudeste,0.6491,3,694.15
54766,63.3,61.4,68.6,194988.28,2.23,2,apartamento,Sudeste,-0.0137,2,2597.12
55059,88.9,90.6,28.3,333762.08,1.82,0,casa,Nordeste,0.445,2,735.97
50287,97.8,98.5,3.0,410168.43,1.95,0,apartamento,Centro-Oeste,-0.4255,1,149.06
51328,83.3,82.2,23.5,205716.37,11.34,0,kitnet,Sudeste,-0.1969,0,1236.53
54960,147.4,149.3,4.4,349916.32,5.46,0,sobrado,Sudeste,1.233,1,136.14
55260,153.2,148.9,18.6,688525.16,4.36,0,apartamento,Nordeste,1.0216,0,288.15
51526,88.3,87.3,3.9,311081.02,7.57,0,casa,Sul,0.2503,2,82.94
50980,108.5,107.5,,388942.98,9.85,0,casa,Sudeste,0.5142,3,254.75
53194,136.9,139.7,,531551.84,5.08,2,casa,Sudeste,0.9041,2,2379.2
50751,229.9,228.6,15.8,1005361.89,2.25,0,casa,Sul,1.9684,3,446.3
50214,90.0,92.2,5.5,267490.36,15.68,0,casa,Sul,0.5496,3,109.81
51267,135.9,137.9,11.9,548552.77,4.63,3,casa,Sudeste,-0.0256,3,2101.22
53311,173.1,170.3,26.4,585385.83,19.17,0,casa,Nordeste,1.0465,3,335.16
50142,116.4,114.3,6.0,408698.45,2.06,0,apartamento,Sudeste,1.4373,1,164.2
52888,61.9,60.6,15.5,192443.86,0.31,0,casa,Nordeste,-0.8368,2,188.57
55915,62.8,61.5,17.0,253286.26,0.33,0,apartamento,Nordeste,1.858,2,317.63
55751,217.3,220.8,12.5,820566.09,3.26,0,apartamento,Sudeste,-0.638,2,305.5
55317,105.2,105.4,0.6,467197.71,7.01,0,casa,Sudeste,0.6235,1,69.72
54755,104.6,104.7,,381698.53,0.29,0,casa,Norte,1.5342,0,123.63
54230,56.7,57.2,5.0,212780.63,1.6,0,casa,Nordeste,-0.4381,3,101.3
54987,47.3,47.6,24.3,210274.7,13.55,0,casa,Nordeste,-1.5528,2,640.92
55765,79.9,79.4,8.8,210166.26,12.63,0,casa,Sudeste,-0.2333,2,85.43
54077,111.6,112.2,7.1,502145.9,3.72,0,casa,Nordeste,-1.2677,0,127.76
53883,240.1,238.4,4.3,638263.07,8.81,1,apartamento,Sul,1.6748,1,1093.06
51607,136.4,132.5,2.5,673205.47,0.2,0,casa,Nordeste,0.2212,1,122.11
54714,159.4,159.2,12.4,5427280.24,6.26,0,apartamento,Sudeste,-2.1945,0,238.95
52102,172.5,174.0,,646288.42,2.39,0,casa,Sul,-0.4535,2,206.9
54364,154.4,153.0,15.1,583123.71,3.39,1,casa,Sul,-0.2664,1,909.97
55546,123.1,125.9,2.2,488022.65,1.9,0,kitnet,Norte,0.8791,0,200.22
51644,86.9,86.9,0.0,342236.52,13.69,1,sobrado,Centro-Oeste,-1.9775,2,1144.93
54886,92.3,92.8,13.6,379599.01,9.66,0,casa,Sudeste,0.073,1,328.36
53552,30.0,30.2,40.3,126697.95,6.75,0,sobrado,Nordeste,0.7967,2,652.84
52916,99.4,98.9,14.5,377428.67,16.24,0,apartamento,Sudeste,0.8103,0,259.25
52118,139.4,139.8,5.6,555047.45,1.15,0,kitnet,Sudeste,0.3508,3,191.89
54836,144.1,148.4,11.5,520829.11,0.2,0,casa,Sudeste,-0.3616,1,322.44
51687,96.9,98.4,3.9,396131.38,0.98,1,casa,Sudeste,-1.3074,1,1613.06
50634,164.8,161.6,13.2,4708440.63,4.15,0,sobrado,Centro-Oeste,-0.9816,2,261.58
51001,75.8,76.6,5.2,332673.67,,0,apartamento,Nordeste,-0.3299,1,237.85
55000,72.4,71.5,1.4,270648.13,2.3,0,casa,Nordeste,-0.4339,3,38.03
52402,117.7,118.4,24.5,501249.3,2.79,0,apartamento,Sul,-0.9301,0,703.26
52678,141.9,138.8,9.2,705843.34,1.21,0,casa,Sul,-0.9843,0,125.57
52909,59.3,59.3,4.2,245982.31,16.02,0,apartamento,Norte,-0.43,2,81.85
50257,109.4,110.7,3.0,434737.85,3.49,0,casa,Sudeste,-0.5233,2,84.06
54045,32.5,31.9,9.7,139561.5,1.49,0,casa,Sudeste,3.0963,0,266.68
55082,83.2,84.4,58.5,301639.97,7.14,0,sobrado,Sudeste,0.6141,2,1432.83
53616,180.9,183.7,9.6,674585.54,5.16,0,apartamento,Sudeste,-0.2999,0,231.18
52980,247.5,250.0,9.3,1066740.47,19.13,0,casa,Sul,1.8007,2,156.28
54407,304.8,295.7,30.3,1878001.75,0.22,0,casa,Sudeste,-0.4131,1,1495.83
54035,112.6,111.7,4.8,485018.99,1.6,2,apartamento,Norte,0.0745,1,4892.22
53776,169.4,164.9,0.5,638185.73,8.86,2,sobrado,Norte,-2.1441,0,3075.35
53764,142.0,140.6,9.1,595958.09,3.23,0,apartamento,Nordeste,1.7882,2,112.39
51303,62.2,63.6,32.0,256912.73,9.09,0,apartamento,Sudeste,-0.0294,0,480.68
51940,210.7,217.0,1.0,796021.98,0.36,2,sobrado,Sudeste,0.7369,3,3950.19
53609,87.1,89.6,12.6,403894.3,8.92,0,apartamento,Sudeste,1.37,1,490.84
53619,184.9,179.9,18.6,952745.01,2.59,0,casa,Nordeste,-1.9975,1,387.32
55216,114.7,115.7,28.7,390879.74,0.76,0,apartamento,Sudeste,-1.0639,1,1818.59
55555,131.2,128.9,6.2,325818.42,5.58,0,apartamento,Norte,-0.1457,3,143.86
52760,30.0,29.8,19.8,126546.4,13.22,1,casa,Centro-Oeste,-0.0804,2,1220.88
52859,193.7,188.7,13.4,572160.91,10.02,0,casa,Sul,-0.0543,0,461.43
54641,105.2,107.3,9.8,421878.38,3.99,0,apartamento,Sudeste,-0.3418,3,111.73
55613,162.7,158.0,12.7,364705.3,0.53,0,apartamento,Sudeste,0.3068,0,198.09
51830,211.2,210.0,21.0,738764.49,2.22,0,apartamento,Sul,-1.3893,0,293.34
51327,129.3,128.6,0.6,434312.69,4.25,0,casa,Nordeste,-1.0755,3,145.06
51737,205.4,199.5,14.3,532657.51,2.47,0,casa,Nordeste,-0.3137,2,635.41
51990,89.5,89.5,32.1,294286.83,10.26,0,casa,Sudeste,0.3901,3,464.22
54314,110.3,112.4,6.5,2863755.53,,0,sobrado,Sudeste,-0.129,1,348.31
55763,108.9,110.8,7.2,399313.1,1.83,0,apartamento,Sudeste,0.4601,2,174.36
52249,80.0,78.9,4.7,467314.42,11.83,1,casa,Sudeste,-0.5644,0,935.26
52829,133.3,132.8,4.0,407737.18,6.84,0,casa,Sul,0.2787,2,113.69
55838,151.9,152.7,8.1,630724.22,0.89,0,apartamento,Norte,-0.6265,0,264.88
53240,76.0,76.0,16.1,323395.47,4.7,0,kitnet,Sul,0.3412,1,337.45
53639,81.0,80.3,8.0,2543573.64,1.16,1,casa,Sul,0.2036,1,1540.32
53888,82.8,83.3,1.5,332133.33,7.45,0,casa,Nordeste,1.0373,1,56.27
50533,51.4,50.5,27.6,183562.27,0.87,0,apartamento,Centro-Oeste,-0.0315,2,667.01
50015,78.2,77.3,1.6,192756.99,,0,casa,Sudeste,0.3435,0,57.72
51748,141.9,138.7,7.5,655446.92,4.17,1,casa,Nordeste,-2.2534,3,1105.27
50828,132.3,132.5,2.7,530941.74,12.7,0,kitnet,Sudeste,0.6485,3,34.87
51091,102.9,104.9,19.3,449306.08,7.9,0,kitnet,Sul,0.6119,0,300.11
54032,125.8,123.8,15.0,396301.24,1.33,0,sobrado,Sudeste,1.8398,1,713.08
55921,143.6,140.3,32.4,631319.72,11.12,1,casa,Norte,-1.9331,0,1106.64
53325,142.8,146.2,28.9,469847.95,1.47,0,casa,Norte,0.2491,3,529.58
52705,87.4,86.1,10.3,358002.4,0.81,0,kitnet,Sudeste,0.1188,1,308.75
53526,179.4,174.2,25.2,864562.22,17.84,0,casa,Sudeste,0.4233,0,365.1
54689,181.8,182.2,15.7,621113.21,1.16,1,kitnet,Sudeste,-0.2237,1,712.86
52278,30.0,30.1,48.6,106983.69,7.05,1,apartamento,Norte,-0.4013,3,1072.65
54294,60.1,58.9,,283364.73,5.73,0,sobrado,Sul,-0.0984,1,220.44
52455,101.1,100.4,,358223.11,9.57,0,casa,Sudeste,-1.0844,0,71.97
54727,124.3,125.9,22.4,440110.38,7.19,0,casa,Nordeste,-0.8415,1,228.85
52332,177.2,177.1,,614727.56,2.06,0,casa,Nordeste,0.2342,1,427.37
54338,111.0,109.5,24.4,475830.94,5.9,0,apartamento,Nordeste,-0.2035,2,573.46
51045,261.4,257.4,32.6,867265.24,2.06,0,apartamento,Sudeste,0.708,3,856.71
53539,141.7,144.9,1.8,664187.75,13.99,0,casa,Sul,0.1203,0,34.09
51431,117.2,117.9,35.9,463585.22,8.7,0,apartamento,Sudeste,-0.1595,1,1308.45
51969,127.8,131.0,15.3,373452.15,10.85,0,casa,Norte,-0.1146,0,213.26
50977,108.2,105.6,1.0,481802.07,3.55,1,casa,Sudeste,-1.2132,0,1248.87
55919,123.6,123.5,11.6,605107.44,2.89,0,apartamento,Sudeste,0.2119,1,330.44
52795,135.5,135.7,13.6,515260.89,12.86,0,apartamento,Sul,-0.0936,2,284.93
55104,58.5,59.8,3.7,211599.2,9.46,0,apartamento,Sudeste,0.2085,3,103.38
53177,208.0,210.7,2.6,1038222.35,0.45,0,casa,Sudeste,0.8314,1,247.42
51750,85.6,84.0,47.5,385375.69,4.16,1,kitnet,Sudeste,0.5068,3,2114.6
50812,134.2,137.5,18.7,589346.93,11.17,0,sobrado,Sudeste,-1.37,2,245.9
55802,101.2,100.7,3.7,419370.7,13.86,1,casa,Sul,-1.4284,1,1611.83
55266,161.1,158.0,31.3,659494.42,1.72,0,casa,Centro-Oeste,0.3187,3,241.07
51495,61.9,61.8,8.6,227054.08,5.76,0,sobrado,Sul,0.3831,3,83.71
52241,294.0,287.9,19.9,1155096.55,8.24,0,casa,Sudeste,0.1684,2,167.61
54482,135.7,139.4,6.8,592801.59,7.83,1,apartamento,Nordeste,0.75,1,1180.77
50535,85.8,85.8,21.1,338920.89,14.13,0,casa,Sudeste,1.1772,3,404.46
52643,93.1,92.2,27.9,359413.15,5.43,0,apartamento,Nordeste,0.431,3,1161.22
54732,135.1,132.0,9.8,492011.01,0.43,0,casa,Sudeste,-1.1455,0,146.6
54269,103.8,106.8,5.5,370497.65,8.56,0,casa,Sudeste,1.623,3,71.48
53487,60.5,58.9,16.5,223384.22,5.37,0,apartamento,Sudeste,-2.0597,0,410.0
53126,84.0,85.9,0.3,366237.25,5.3,0,apartamento,Sul,0.2463,2,57.48
51933,191.1,190.6,,703320.17,,0,apartamento,Sudeste,0.015,3,426.03
51192,169.2,172.6,3.4,389966.11,0.38,0,sobrado,Sudeste,-0.442,0,192.8
51843,30.0,29.2,15.0,103986.54,1.86,2,apartamento,Sudeste,-0.777,2,1458.76
52588,79.1,78.3,23.6,337716.14,10.71,1,sobrado,Sudeste,-0.3924,2,2864.31
54779,165.8,161.4,5.8,585685.94,7.81,0,casa,Sudeste,0.965,3,193.92
53677,115.5,115.0,13.0,504622.05,2.72,0,apartamento,Sudeste,-0.4115,2,316.25
52272,32.1,32.8,16.2,124759.17,12.69,0,casa,Sul,-1.1764,3,356.05
